
="",="Private",="Manufacturing",="Private",="Manufacturing"

="AR(1) Coefficient",="0.06***",="0.09***",="0.31***",="0.41***"
="",="(0.0002)",="(0.0011)",="(0.0010)",="(0.0028)"

="Ln Pay",="0.96***",="0.95***",="0.50***",="0.42***"
="",="(0.0001)",="(0.0005)",="(0.0003)",="(0.0009)"

="Age 3-4",="-0.03***",="-0.07***",="-0.11***",="-0.20***"
="",="(0.0002)",="(0.0013)",="(0.0006)",="(0.0028)"

="Age 5-7",="-0.03***",="-0.08***",="-0.12***",="-0.19***"
="",="(0.0003)",="(0.0017)",="(0.0007)",="(0.0037)"

="Age 8-12",="-0.03***",="-0.10***",="-0.11***",="-0.17***"
="",="(0.0004)",="(0.0020)",="(0.0009)",="(0.0043)"

="Age 13 or more",="-0.03***",="-0.09***",="-0.11***",="-0.17***"
="",="(0.0005)",="(0.0024)",="(0.0011)",="(0.0050)"

="N",="13429873",="900220",="11643922",="854897"
="R-sq",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
